Cliente_ID,Edad,Genero,Saldo,Activo,Nivel_de_Satisfaccion
1,24.0,,72699.44,1.0,4.0
2,52.0,Femenino,15084.72,1.0,2.0
3,44.0,Femenino,44786.12,0.0,5.0
4,27.0,,94585.26,0.0,2.0
5,56.0,Masculino,81708.46,,5.0
6,56.0,Masculino,71631.92,0.0,
7,51.0,Femenino,72153.11,1.0,3.0
8,50.0,Masculino,26272.54,0.0,2.0
9,71.0,Femenino,97448.72,1.0,3.0
10,75.0,Femenino,27869.11,0.0,4.0
11,31.0,Masculino,1706.24,1.0,1.0
12,,Masculino,,1.0,2.0
13,42.0,Masculino,88074.14,1.0,1.0
14,,Masculino,31728.58,1.0,2.0
15,40.0,Masculino,15484.29,0.0,5.0
16,77.0,Femenino,71185.73,1.0,4.0
17,79.0,Femenino,92471.14,1.0,3.0
18,77.0,Masculino,99907.54,1.0,4.0
19,28.0,,,,2.0
20,73.0,Masculino,74288.86,1.0,4.0
21,25.0,Femenino,88998.29,0.0,2.0
22,,Masculino,55490.97,0.0,2.0
23,54.0,Masculino,84468.13,,
24,,Femenino,6974.15,0.0,5.0
25,34.0,Femenino,82431.69,1.0,3.0
26,21.0,Masculino,15686.61,0.0,5.0
27,20.0,Masculino,98057.89,0.0,4.0
28,42.0,Femenino,44454.65,0.0,4.0
29,35.0,Masculino,32649.18,1.0,3.0
30,26.0,Femenino,86693.34,1.0,2.0
31,72.0,Masculino,93618.71,1.0,5.0
32,32.0,,92280.0,0.0,2.0
33,62.0,Masculino,,1.0,1.0
34,23.0,,52574.57,0.0,4.0
35,34.0,Masculino,58986.58,1.0,1.0
36,61.0,Femenino,98989.9,1.0,3.0
37,50.0,Femenino,19013.48,1.0,
38,59.0,Femenino,17205.29,0.0,3.0
39,,Femenino,40417.18,1.0,5.0
40,,Femenino,9479.72,0.0,2.0
41,,Masculino,66987.21,1.0,
42,,Masculino,28033.56,,3.0
43,73.0,Masculino,8984.92,0.0,1.0
44,,Masculino,49370.33,,4.0
45,61.0,Femenino,57953.87,1.0,
46,32.0,Masculino,23965.39,0.0,2.0
47,38.0,Femenino,48297.29,1.0,1.0
48,73.0,Femenino,30303.55,1.0,2.0
49,,Masculino,17491.49,0.0,4.0
50,66.0,Femenino,43284.87,,3.0
51,54.0,Masculino,48539.04,0.0,2.0
52,76.0,,14261.97,1.0,2.0
53,20.0,Masculino,14704.13,,4.0
54,35.0,Femenino,20926.58,1.0,5.0
55,18.0,Masculino,88246.47,0.0,3.0
56,57.0,Masculino,50219.09,,1.0
57,58.0,Masculino,40346.62,,4.0
58,,Femenino,73337.36,1.0,1.0
59,72.0,Femenino,59079.67,1.0,2.0
60,35.0,Masculino,26268.94,1.0,5.0
61,46.0,Masculino,65800.76,1.0,1.0
62,74.0,Masculino,90968.89,1.0,3.0
63,51.0,Femenino,86439.98,1.0,1.0
64,49.0,Masculino,67514.2,,3.0
65,38.0,Femenino,86882.59,0.0,3.0
66,73.0,Masculino,20792.41,1.0,5.0
67,48.0,Femenino,30658.52,,3.0
68,79.0,Femenino,97218.83,0.0,1.0
69,65.0,Masculino,54089.79,,2.0
70,,Femenino,7616.27,0.0,3.0
71,67.0,Masculino,1256.86,0.0,5.0
72,60.0,Masculino,66551.89,1.0,4.0
