Cliente_ID,Edad,Genero,Saldo,Activo,Nivel_de_Satisfaccion
1,24,Femenino,72699.44,1.0,4
2,52,Femenino,15084.72,1.0,2
3,44,Femenino,44786.12,0.0,5
4,27,Femenino,94585.26,0.0,2
6,56,Masculino,71631.92,0.0,3
7,51,Femenino,72153.11,1.0,3
8,50,Masculino,26272.54,0.0,2
9,71,Femenino,97448.72,1.0,3
10,75,Femenino,27869.11,0.0,4
11,31,Masculino,1706.24,1.0,1
13,42,Masculino,88074.14,1.0,1
14,49,Masculino,31728.58,1.0,2
15,40,Masculino,15484.29,0.0,5
16,77,Femenino,71185.73,1.0,4
17,79,Femenino,92471.14,1.0,3
18,77,Masculino,99907.54,1.0,4
20,73,Masculino,74288.86,1.0,4
21,25,Femenino,88998.29,0.0,2
22,49,Masculino,55490.97,0.0,2
24,49,Femenino,6974.15,0.0,5
25,34,Femenino,82431.69,1.0,3
26,21,Masculino,15686.61,0.0,5
27,20,Masculino,98057.89,0.0,4
28,42,Femenino,44454.65,0.0,4
29,35,Masculino,32649.18,1.0,3
30,26,Femenino,86693.34,1.0,2
31,72,Masculino,93618.71,1.0,5
32,32,Femenino,92280.0,0.0,2
34,23,Femenino,52574.57,0.0,4
35,34,Masculino,58986.58,1.0,1
36,61,Femenino,98989.9,1.0,3
37,50,Femenino,19013.48,1.0,3
38,59,Femenino,17205.29,0.0,3
39,49,Femenino,40417.18,1.0,5
40,49,Femenino,9479.72,0.0,2
41,49,Masculino,66987.21,1.0,3
43,73,Masculino,8984.92,0.0,1
45,61,Femenino,57953.87,1.0,3
46,32,Masculino,23965.39,0.0,2
47,38,Femenino,48297.29,1.0,1
48,73,Femenino,30303.55,1.0,2
49,49,Masculino,17491.49,0.0,4
51,54,Masculino,48539.04,0.0,2
52,76,Femenino,14261.97,1.0,2
54,35,Femenino,20926.58,1.0,5
55,18,Masculino,88246.47,0.0,3
58,49,Femenino,73337.36,1.0,1
59,72,Femenino,59079.67,1.0,2
60,35,Masculino,26268.94,1.0,5
61,46,Masculino,65800.76,1.0,1
62,74,Masculino,90968.89,1.0,3
63,51,Femenino,86439.98,1.0,1
65,38,Femenino,86882.59,0.0,3
66,73,Masculino,20792.41,1.0,5
68,79,Femenino,97218.83,0.0,1
70,49,Femenino,7616.27,0.0,3
71,67,Masculino,1256.86,0.0,5
72,60,Masculino,66551.89,1.0,4
73,30,Femenino,73109.73,0.0,1
76,45,Femenino,83659.53,0.0,3
77,18,Masculino,32666.21,0.0,1
79,26,Femenino,8642.47,1.0,2
81,71,Femenino,99110.56,0.0,5
82,49,Femenino,93511.45,0.0,1
84,19,Masculino,94556.81,0.0,2
85,40,Masculino,67250.08,0.0,5
86,22,Masculino,64784.44,0.0,3
87,76,Masculino,30911.74,1.0,3
88,75,Masculino,93387.14,0.0,1
90,49,Femenino,12235.55,1.0,2
91,49,Masculino,30929.62,0.0,4
92,49,Femenino,91121.79,1.0,5
93,61,Masculino,62433.75,1.0,3
94,74,Masculino,40249.59,0.0,3
95,40,Femenino,79816.68,1.0,2
96,55,Femenino,99241.93,0.0,5
97,50,Masculino,70650.55,0.0,3
98,72,Femenino,51392.31,1.0,3
100,61,Femenino,12489.27,0.0,3
101,27,Masculino,5960.44,0.0,2
103,52,Femenino,95459.63,1.0,2
105,60,Femenino,86617.11,0.0,3
106,66,Masculino,69090.83,0.0,1
107,40,Femenino,69807.03,0.0,4
108,57,Femenino,80299.73,0.0,4
110,33,Masculino,7473.87,1.0,4
111,25,Masculino,97077.8,0.0,5
112,31,Masculino,35106.08,1.0,2
113,51,Masculino,97419.71,1.0,1
114,58,Femenino,21473.47,1.0,2
115,69,Masculino,69460.07,0.0,5
116,67,Masculino,36598.51,1.0,2
118,49,Masculino,94023.88,0.0,1
119,79,Masculino,23006.2,1.0,1
120,40,Femenino,99672.39,1.0,3
121,19,Femenino,57432.09,0.0,3
123,58,Masculino,96191.64,0.0,3
125,19,Masculino,71464.51,1.0,5
127,49,Masculino,33906.9,0.0,1
128,41,Masculino,6920.98,1.0,5
129,25,Masculino,27859.84,1.0,2
130,21,Masculino,65875.6,0.0,5
131,22,Masculino,72972.69,1.0,3
132,66,Femenino,59342.16,1.0,2
133,33,Masculino,33788.52,1.0,1
135,71,Femenino,12027.73,1.0,3
136,50,Femenino,29632.21,1.0,4
137,63,Femenino,86592.25,1.0,3
139,61,Masculino,77724.16,0.0,1
141,74,Femenino,57052.09,0.0,5
143,73,Masculino,3514.43,0.0,1
144,57,Femenino,37196.61,0.0,4
145,77,Masculino,25187.57,0.0,5
146,34,Femenino,39966.88,0.0,3
148,55,Femenino,43296.33,0.0,4
149,31,Femenino,5389.94,0.0,1
150,47,Femenino,50822.73,0.0,5
151,59,Masculino,25845.98,1.0,5
152,54,Femenino,49660.2,0.0,1
153,37,Masculino,93551.44,1.0,4
154,62,Femenino,97406.58,0.0,2
155,23,Femenino,80966.46,1.0,4
156,72,Femenino,66679.64,0.0,3
157,57,Femenino,90434.13,1.0,1
158,28,Femenino,98132.04,1.0,3
159,76,Femenino,93569.03,0.0,1
160,43,Femenino,89122.61,1.0,3
161,55,Masculino,69035.73,0.0,3
163,52,Masculino,48582.01,1.0,1
164,74,Femenino,87551.09,1.0,3
165,26,Masculino,19638.56,0.0,3
166,45,Masculino,29724.8,1.0,2
167,32,Femenino,48801.94,0.0,2
169,34,Masculino,33328.44,0.0,4
170,68,Femenino,47591.99,0.0,2
172,65,Femenino,59292.91,1.0,2
173,19,Femenino,36884.45,0.0,1
174,49,Femenino,13338.88,0.0,3
175,45,Femenino,20533.26,1.0,5
176,49,Femenino,80321.58,1.0,2
177,58,Femenino,28111.2,1.0,2
179,32,Masculino,33534.89,0.0,4
180,32,Femenino,78965.49,1.0,3
181,38,Masculino,1597.09,1.0,1
182,21,Femenino,24120.22,1.0,3
183,18,Femenino,64106.86,0.0,2
184,39,Masculino,26316.52,0.0,3
185,50,Masculino,6182.86,0.0,1
186,36,Femenino,38603.19,0.0,3
187,33,Femenino,37305.7,0.0,3
189,49,Femenino,84254.5,1.0,4
190,27,Femenino,28424.67,1.0,5
191,24,Masculino,66564.53,0.0,1
192,21,Femenino,33218.83,1.0,2
193,78,Masculino,69922.12,1.0,4
194,34,Masculino,5659.2,0.0,5
195,79,Masculino,13422.84,1.0,4
196,62,Femenino,44675.17,0.0,1
197,25,Femenino,93008.73,1.0,5
198,77,Femenino,56525.45,0.0,3
199,43,Femenino,36055.02,1.0,5
200,63,Masculino,33563.07,1.0,4
201,20,Femenino,23846.91,0.0,5
202,49,Femenino,50960.25,0.0,2
203,22,Femenino,83189.39,0.0,4
204,51,Femenino,95622.38,1.0,5
205,30,Femenino,22847.54,0.0,5
206,61,Masculino,10224.38,1.0,5
207,76,Femenino,24087.49,0.0,4
208,24,Masculino,25656.81,1.0,3
209,58,Femenino,76014.86,0.0,1
210,77,Femenino,40655.65,1.0,1
211,41,Femenino,37940.78,0.0,5
212,60,Masculino,58485.0,1.0,2
213,54,Femenino,94686.38,1.0,5
214,77,Femenino,63149.59,0.0,3
216,18,Femenino,32906.72,1.0,2
217,75,Masculino,37167.4,1.0,5
218,46,Masculino,56914.13,1.0,2
219,49,Femenino,86330.46,1.0,2
220,71,Femenino,5633.87,1.0,3
221,33,Femenino,78674.61,0.0,2
223,67,Masculino,95564.0,0.0,5
224,24,Masculino,14446.16,1.0,3
225,55,Masculino,85370.74,0.0,5
229,79,Masculino,95899.29,0.0,1
230,27,Masculino,14836.71,0.0,3
232,49,Femenino,78959.25,0.0,4
233,52,Masculino,42153.62,0.0,2
234,23,Femenino,2345.69,0.0,3
235,48,Femenino,41049.13,1.0,3
236,47,Femenino,21184.99,0.0,5
237,65,Femenino,1103.28,1.0,3
238,71,Femenino,13535.73,1.0,3
239,66,Femenino,25436.68,0.0,3
241,49,Femenino,43040.41,0.0,1
242,49,Masculino,77889.19,0.0,5
244,38,Femenino,78965.57,0.0,1
245,38,Femenino,37699.4,0.0,2
246,25,Femenino,10730.97,1.0,5
247,49,Femenino,84200.35,1.0,3
248,68,Femenino,65981.89,0.0,3
249,48,Masculino,58266.3,1.0,5
250,45,Masculino,51464.82,0.0,5
251,75,Masculino,15326.92,1.0,4
252,59,Masculino,51903.76,0.0,1
253,35,Femenino,39693.53,1.0,1
255,49,Masculino,61875.61,0.0,2
256,25,Masculino,74491.3,1.0,1
